Year,Fatal Road Accidents,Killed,Non-Fatal Road Accidents,Total
2007,957,981,"7,469","8,426"
2008,864,892,"6,908","7,772"
2009,737,761,"6,138","6,875"
2010,816,858,"5,667","6,483"
2011,727,762,"5,297","6,024"
2012,740,760,"4,767","5,507"
2013,737,771,"4,493","5,230"
2014,711,737,"4,293","5,004"
2015,714,740,"4,114","4,828"
2016,754,793,"6,752","7,506"
2017,609,642,"4,455","5,064"
2018,661,686,"3,950","4,611"
2019,744,766,"3,944","4,688"
2020,622,647,"2,614","3,236"
2021,621,654,"2,592","3,213"
2022,752,772,"3,070","3,822"
2023,882,910,"4,092","4,974"
2024,869,894,"3,900","4,769"
2025,843,878,"4,050","4,893"
