Sl.No,District/Taluk/Hobli,Normal_mm,Actual_mm,Departure (%)
1,BENGALURU URBAN,845.5,879.3,4
1,Anekal,901.6,976.8,8
1,Anekal_1,901.6,1042.1,16
2,Attibele_1,823.5,918.6,12
3,Jigani_1,844.7,982,16
4,Sarjapura_1,747.8,908.8,22
5,Anekal_2,880.9,979.6,11
6,Jigani_2,864.9,920.6,6
7,Attibele_2,856.7,1126.3,31
8,Sarjapura_1,854.9,1009.2,18
9,Sarjapura_3,813.5,903.4,11
2,Bengaluru North,1004.4,844,-16
1,Bengaluru North_1,1004.4,767.3,-24
2,Dasanapura_1,895.6,725,-19
3,Yashavantapura_1,818.9,756.2,-8
4,Bengaluru North_2,854.1,710.7,-17
5,Yashavantapura_2,865.6,939.7,9
6,Dasanapura_2,872.2,976.4,12
7,Dasanapura_3,899.8,988.3,10
3,Bengaluru South,819.5,853.8,4
1,Beguru_3,819.5,803.2,-2
2,Kengeri_1,905.3,975.1,8
3,Tavarekere_1,734.1,902.3,23
4,Uttarahalli_4,904.6,1077.1,19
5,Uttarahalli_1,885.7,752.7,-15
6,Uttarahalli_2,872,766.2,-12
7,Uttarahalli_3,862.5,774.5,-10
8,Uttarahalli_5,940.9,999,6
9,Beguru_1,912.1,841.6,-8
10,Beguru_2,874.9,936.6,7
11,Kengeri_2,877.8,849,-3
12,Kengeri_3,860,845.7,-2
13,Kengeri_4,851.5,1035.2,22
14,Tavarekere_2,961,678.5,-29
15,Tavarekere_3,870.5,814.4,-6
4,Bengaluru East,814.5,723.1,-11
1,Mahadevpura_1,814.5,582.5,-28
2,Bidarahalli_2,828,781.4,-6
3,Varturu_1,817.9,721,-12
4,K R Pura_2,855.1,733.2,-14
5,K R Pura_3,827.4,527.1,-36
6,Varturu_2,881,667.4,-24
7,Bidarahalli_1,820.6,793.7,-3
8,Mahadevapura_2,882.1,431.6,-51
9,Marathahalli,891.4,706.8,-21
10,Bidharahalli_3,798.6,991.1,24
5,Yelahanka,751.5,970.3,29
1,Yelahanka_1,751.5,974.6,30
2,Yelahanka_2,785.3,795,1
3,Yelahanka_3,800.5,801.3,0
4,Jala_1,760.1,1001.1,32
5,Jala_2,763.4,997.2,31
6,Jala_3,781.4,969,24
7,Hesarughatta_1,746.1,962.6,29
8,Hesarughatta_2,780.5,1048,34
2,BENGALURU RURAL,798.3,848.8,6
6,Devanahalli,808.4,832.6,3
1,Devanahalli,808.4,887.8,10
2,Channarayapatna,796.2,846.9,6
3,Kundana,786.2,776.2,-1
4,Vijaypura,786.8,818.6,4
7,Doddaballapura,798.6,861.8,8
1,Dodballapur,798.6,793.2,-1
2,Dodda Belavangala,791.5,817.1,3
3,Madure,812.4,1000,23
4,Sasalu,709.1,863.3,22
5,Tubagere,786.7,875.9,11
8,Hosakote,856.9,818.3,-5
1,Hosakote,856.9,709.8,-17
2,Anugondhalli,731.3,664.1,-9
3,Jadigenhalli,795.7,820.2,3
4,Nandagudi,777.2,904.1,16
