area,severity_score,historical_area_risk,report_density,accessibility_risk,risk_score,risk_label_binary
Grand Total,0.8333349043878346,0.9521907334045265,0.32320534552496916,0.3265455029678724,0.6909473311072747,1
Grand Total,0.6249379230687926,0.9521907334045265,0.6283197232896456,0.537220165385231,0.7106324625611492,1
Grand Total,0.9366068842673461,0.9521907334045265,0.5620333662106408,0.5176472152656417,0.8035233850469036,1
Grand Total,0.844265761617571,0.9521907334045265,0.6205800646518618,0.6195287473105622,0.7981955616144645,1
Grand Total,0.6300792112076139,0.9521907334045265,0.5469544112225586,0.5165341369645566,0.693055946733218,1
Grand Total,0.8187330288114798,0.9521907334045265,0.5752024605996882,0.3151965367614466,0.7345337527395306,1
Grand Total,0.7289602248112339,0.9521907334045265,0.6231105905593979,0.3961000058837714,0.7248304176997351,1
Grand Total,0.9212883323680235,0.9521907334045265,0.3943935157627938,0.3783160720441491,0.7437342503093473,1
Grand Total,0.8041224625247387,0.9521907334045265,0.5901178316412086,0.5287296828180788,0.76443310065597,1
Grand Total,0.7097730091123378,0.9521907334045265,0.36681733995742166,0.507734246455402,0.6836013781704707,1
Grand Total,0.7022921338640893,0.9521907334045265,0.6553319157842246,0.42783203197661945,0.7267006548271271,1
Grand Total,1.0,0.9521907334045265,0.5369683447154685,0.30527050651213666,0.788841464941272,1
Grand Total,0.8566820858702913,0.9521907334045265,0.7147026509389519,0.41472154331887345,0.7906447117615814,1
Grand Total,0.7354018170868926,0.9521907334045265,0.3520568958290523,0.48290356537063567,0.6858947699731762,1
Grand Total,0.6633305541370824,0.9521907334045265,0.48155678253650536,0.5960597206614591,0.7035432285758567,1
Grand Total,0.9293486122530256,0.9521907334045265,0.7459901917417291,0.25169280546583767,0.7978811934781382,1
Grand Total,0.6683084062012715,0.9521907334045265,0.4672996837406991,0.379429284013883,0.6699394915420251,1
Grand Total,0.8290094480832936,0.9521907334045265,0.6574766876108497,0.37598217188207184,0.7637031901549913,1
Grand Total,0.6306362277716475,0.9521907334045265,0.5386110327858235,0.5564766184715835,0.6975735990693368,1
Grand Total,0.6965888035706966,0.9521907334045265,0.5125319681352296,0.5250762669510924,0.7107311349408115,1
Grand Total,0.977617797842817,0.9521907334045265,0.5484412071153123,0.24343403315776313,0.7740267956630709,1
Grand Total,0.7095121122275592,0.9521907334045265,0.5792458758638384,0.6099516800726485,0.7413283864846686,1
Grand Total,0.8392492488158451,0.9521907334045265,0.6432482931644075,0.6627110856641207,0.8074507785894033,1
Grand Total,0.7183436107058908,0.9521907334045265,0.6376919477571231,0.6268123984128958,0.7586377330817787,1
Grand Total,0.8753466086927437,0.9521907334045265,0.7881461487668258,0.6957720624353733,0.8540235721824894,1
Grand Total,0.8195669294570399,0.9521907334045265,0.9482224048060954,0.27571842599634366,0.8035078901919926,1
Grand Total,0.6472507392381874,0.9521907334045265,0.41922762652182377,0.33654333508541406,0.6465220043219003,1
